"sample","chromosome","start","end","length_bp","n_markers","quality"
"E32M-1",4,195375461,202105963,6730503,225,57.4
"E32M-1",4,203113587,204441580,1327994,116,70.1
"E33M-1",4,197361332,202667325,5305994,194,68
"E34M-2A",4,108574442,122267480,13693039,446,85.3
"E34M-2A",4,139211926,147355459,8143534,301,80.4
"E34M-2A",4,166340416,172644303,6303888,256,74.9
"E34M-2A",4,181766713,185096329,3329617,120,44.1
"E34M-2A",4,202037772,207193806,5156035,366,86.8
"E35M-2A",4,7148422,9725122,2576701,121,45.2
"E35M-2A",4,108275214,127941026,19665813,657,89.1
"E35M-2A",4,173244422,178541604,5297183,202,77.6
"E35M-2A",4,189571845,198450372,8878528,212,47
"E36F-2A",4,6450481,9091122,2640642,132,78.7
"E36F-2A",4,30701180,32315943,1614764,113,58.6
"E36F-2A",4,79039178,120560095,41520918,1233,96.4
"E36F-2A",4,164207829,189188231,24980403,873,93.9
"E36F-2A",4,197361332,202667325,5305994,194,69.5
"E37F-1",4,13314356,50298206,36983851,1404,95.3
"LAO01M-2A",4,34039784,55873830,21834047,623,91.6
"LAO01M-2A",4,121124428,207193806,86069379,3015,98.3
"LAO03M-1",4,17263684,79187641,61923958,2021,97
"LAO03M-1",4,100977757,167160531,66182775,2007,96
"LAO03M-1",4,178646566,185230154,6583589,197,65.3
"LAO03M-1",4,188909940,207193806,18283867,692,90.6
"LAO06M-2A",4,385317,7741593,7356277,340,83.8
"LAO06M-2A",4,17860435,58254840,40394406,1392,94.5
"LAO06M-2A",4,122395046,167410048,45015003,1415,92.2
"LAO06M-2A",4,179777554,188722331,8944778,344,77.6
"LAO06M-2A",4,204240955,207193806,2952852,193,87
"LO01F-1",4,7549694,10773994,3224301,143,49.9
"LO03M-1",4,1971423,6799426,4828004,217,57.3
"LO03M-1",4,13028525,15876257,2847733,169,63.2
"LO03M-1",4,56701490,73543453,16841964,523,85.1
"LO03M-1",4,128376947,133980242,5603296,160,64.2
"LO03M-1",4,194348870,202376618,8027749,282,64.4
"LO04M-1",4,385317,7741593,7356277,328,76.2
"LO04M-1",4,102373664,121033169,18659506,553,85.3
"LO04M-1",4,170658457,174780547,4122091,139,55.9
"LO04M-1",4,179777554,185230154,5452601,189,61
"OF289-2",4,179777554,188722331,8944778,325,74.7
"OF289-2",4,199152622,202632275,3479654,159,46.7
"OF304-1A",4,17860435,23231518,5371084,184,71.5
"OF304-1A",4,75203880,88655493,13451614,386,80.1
"OF304-1A",4,164470068,170054254,5584187,216,66.1
"OF304-1A",4,179777554,188722331,8944778,339,80.3
"OM258-2",4,2593753,6799426,4205674,147,36.9
"OM258-2",4,8060398,12236206,4175809,119,45.1
"OM258-2",4,14565822,16968518,2402697,124,48.2
"OM258-2",4,32983375,44307533,11324159,294,79.9
"OM258-2",4,179199779,185230154,6030376,172,56.9
"OM258-2",4,191145319,199281720,8136402,192,81.9
"OM270-2",4,385317,3943429,3558113,177,78.5
"OM270-2",4,7797909,11256061,3458153,142,63.9
"OM270-2",4,34039784,55873830,21834047,594,91.6
"OM270-2",4,121124428,167160531,46036104,1387,94.3
"OM270-2",4,178646566,185096329,6449764,192,65.3
"OM270-2",4,202131920,206342777,4210858,314,74.6
"OM274-3B",4,385317,14259064,13873748,591,91.6
"OM274-3B",4,33219209,44307533,11088325,326,76.3
"OM274-3B",4,148676168,163662079,14985912,381,82.3
"OM274-3B",4,196117201,199030216,2913016,82,30.3
"OM274-3B",4,202233167,206342777,4109611,299,76.6
"OM276-1",4,385317,2384278,1998962,109,72.2
"OM276-1",4,14874203,24751877,9877675,377,84.2
"OM276-1",4,32832856,45713300,12880445,370,81.4
"OM276-1",4,124155309,135213231,11057923,346,83.4
"OM276-1",4,206027801,207193806,1166006,81,46.2
"OM279-1",4,14379783,24751877,10372095,405,83.5
"OM279-1",4,32832856,46333326,13500471,368,76.3
"OM279-1",4,172094576,186771757,14677182,487,85.1
"OM283-2",4,2546612,6798465,4251854,167,48
"OM283-2",4,8507508,23323517,14816010,592,90.7
"OM283-2",4,47434428,54729604,7295177,239,75.7
"OM283-2",4,73674431,168434729,94760299,2891,97.1
"OM283-2",4,178646566,185230154,6583589,198,73.7
"OM283-2",4,193871210,199030216,5159007,153,63.6
"OM290-2",4,16985035,32532070,15547036,563,87.5
"OM290-2",4,146582734,154338789,7756056,173,53.8
"OM290-2",4,179680812,185681117,6000306,195,69.5
"OM292-2",4,2043899,7712661,5668763,228,64.2
"OM292-2",4,16985035,32524369,15539335,536,87.2
"OM292-2",4,67917314,75091191,7173878,210,75.9
"OM292-2",4,90866167,106372820,15506654,416,85.8
"OM292-2",4,138396588,154338789,15942202,416,82.2
"OM292-2",4,179199779,186771757,7571979,255,71.5
"OM301-1A",4,7797909,11454645,3656737,147,57.4
"OM301-1A",4,17112277,24519990,7407714,240,78.4
"OM301-1A",4,31536034,33220683,1684650,159,66.1
"OM301-1A",4,35679813,44307533,8627721,161,51.7
"OM301-1A",4,75203880,88813528,13609649,386,83.1
"OM318-2",4,185274211,199030216,13756006,364,87
"OM318-2",4,199390702,203116979,3726278,184,63.1
"OM331-1A",4,475082,6799426,6324345,228,61
"OM331-1A",4,33980133,54451110,20470978,475,86.6
"OM331-1A",4,202788723,204441580,1652858,131,74
"Y22F-1",4,385317,3274378,2889062,150,89.8
"Y22F-1",4,15876257,33070781,17194525,627,92.2
"Y22F-1",4,172781861,187496436,14714576,440,84.9
"Y22F-1",4,194915597,202376618,7461022,208,57.6
"Y27M-1",4,385317,12980213,12594897,532,91.2
"Y27M-1",4,33980133,54451110,20470978,561,86.2
"Y27M-1",4,198350010,202376618,4026609,166,47.9
"Y28M-1",4,475082,3093702,2618621,159,77.8
"Y28M-1",4,4824332,12980213,8155882,319,77
"Y28M-1",4,45201458,73543453,28341996,914,93.3
"Y28M-1",4,120541959,130241582,9699624,354,86.9
"Y28M-1",4,133980242,165026056,31045815,955,92.3
"Y28M-1",4,187034854,200534816,13499963,344,79.3
"Y29F-1",4,385317,1771516,1386200,59,40.9
"Y29F-1",4,128798560,132316552,3517993,86,51.4
"Y29F-1",4,154089863,165673930,11584068,343,81.2
"Y29F-1",4,186595381,193222369,6626989,152,73.3
"Y29F-1",4,202788723,207193806,4405084,289,85
"Y30F-1",4,4824332,31214016,26389685,1051,94.6
"Y30F-1",4,203383968,207193806,3809839,258,80.1
"Y31F-1",4,130439270,143458144,13018875,405,85.5
"Y31F-1",4,166500718,171218437,4717720,183,71.1
"Y31F-1",4,200995549,204574934,3579386,254,77.5
"Y32F-1",4,385317,1784349,1399033,62,40.6
"Y32F-1",4,8507508,13605723,5098216,161,49.4
"Y32F-1",4,64040604,74289564,10248961,324,86.1
"Y32F-1",4,128026313,133980242,5953930,171,63
"Y32F-1",4,202052568,204626950,2574383,207,61
"E10F-1",5,15524521,17039582,1515062,168,73.7
"E10F-1",5,36658408,41242740,4584333,161,63.1
"E10F-1",5,44759069,124126830,79367762,1980,96
"E10F-1",5,136749393,138373936,1624544,130,61.8
"E10F-1",5,151754573,153179063,1424491,186,64.9
"E13M-1",5,4154792,7702990,3548199,237,72.1
"E13M-1",5,108590294,114448231,5857938,159,57.5
"E13M-1",5,142920906,147123506,4202601,247,64.3
"E14F-1",5,1230013,4243461,3013449,131,46.4
"E14F-1",5,5220765,13396309,8175545,413,81.2
"E14F-1",5,20553267,99806523,79253257,1961,96.7
"E14F-1",5,106866621,110680103,3813483,121,30.9
"E14F-1",5,119432684,124266567,4833884,232,80.3
"E14F-1",5,133669967,138131643,4461677,258,87
"E18F-1",5,45080379,52704682,7624304,222,60.8
"E18F-1",5,123302672,132379599,9076928,430,86.6
"E19M-2A",5,1230013,12126170,10896158,535,85.7
"E19M-2A",5,47222883,83327270,36104388,712,94.7
"E24M-1",5,1230013,4921796,3691784,187,65.8
"E24M-1",5,107245480,113525005,6279526,173,30.7
"E24M-1",5,128389883,138131643,9741761,439,85.8
"E24M-1",5,151849367,154548470,2699104,273,76.4
"E25F-1",5,18372142,42189036,23816895,707,85.5
"E25F-1",5,86467499,105211557,18744059,408,79.9
"E25F-1",5,135073181,136586731,1513551,94,49.9
"E25F-1",5,152165200,153644540,1479341,163,72.9
"E27M-1",5,91966920,107790286,15823367,357,76.3
"E28F-1",5,36658408,44514597,7856190,292,80.8
"E28F-1",5,84770587,103489784,18719198,386,78.2
"E28F-1",5,138999149,151668715,12669567,764,89.7
"E29M-1",5,84669161,103583273,18914113,423,78.2
"E29M-1",5,122897800,127415056,4517257,239,76.2
"E29M-1",5,153209482,154885742,1676261,110,76.6
"E30M-1",5,16114345,23090530,6976186,328,78.4
"E30M-1",5,76716843,84453118,7736276,143,57.1
"E30M-1",5,111232920,116214789,4981870,168,66
"E30M-1",5,152126794,153420282,1293489,156,61.7
"E31M-2",5,2286755,4921796,2635042,140,55.6
"E31M-2",5,38812997,41041324,2228328,81,45.9
"E31M-2",5,77961220,84508066,6546847,125,69.5
"E31M-2",5,105278784,113525005,8246222,245,61.1
"E31M-2",5,123736705,126441675,2704971,136,73.2
"E32M-1",5,1478601,3567307,2088707,95,55.2
"E32M-1",5,91516333,103508337,11992005,252,67.2
"E33M-1",5,1295445,3567307,2271863,91,80.9
"E33M-1",5,84750158,103895630,19145473,349,60.5
"E33M-1",5,127960247,132379599,4419353,135,56.5
"E33M-1",5,149223321,151677158,2453838,178,58.4
"E34M-2A",5,10505356,16697418,6192063,406,90.2
"E34M-2A",5,122933088,124350025,1416938,99,58.2
"E34M-2A",5,128972866,132794834,3821969,131,32.6
"E34M-2A",5,135073181,137376366,2303186,164,76.1
"E35M-2A",5,47625256,70347212,22721957,487,82.7
"E35M-2A",5,86587736,104887827,18300092,422,79.1
"E36F-2A",5,15584154,17230212,1646059,159,60.5
"E36F-2A",5,54759579,84621187,29861609,581,89.7
"E36F-2A",5,127781897,137918639,10136743,437,87.7
"E36F-2A",5,149016560,151677158,2660599,222,62.2
"E37F-1",5,1230013,3567307,2337295,113,85.7
"E37F-1",5,7658471,44514597,36856127,1473,95.1
"E37F-1",5,84750158,103895630,19145473,433,75.2
"E37F-1",5,127781897,132379599,4597703,185,71.6
"E37F-1",5,134710268,138027926,3317659,233,76.9
"E37F-1",5,138999149,151677158,12678010,800,90.1
"LAO01M-2A",5,1230013,3081962,1851950,90,63.9
"LAO01M-2A",5,109181446,136354931,27173486,1064,93
"LAO03M-1",5,1230013,4169317,2939305,125,81.1
"LAO03M-1",5,6130740,9239845,3109106,111,45.2
"LAO03M-1",5,16296826,41928434,25631609,860,93.6
"LAO03M-1",5,46777410,50865775,4088366,121,31.4
"LAO03M-1",5,127289320,136903751,9614432,414,89.5
"LAO03M-1",5,147089364,154351167,7261804,602,90.1
"LAO06M-2A",5,42838965,46846073,4007109,131,39.2
"LAO06M-2A",5,92621025,104603098,11982074,268,73.2
"LAO06M-2A",5,119432684,127215032,7782349,362,80.8
"LAO06M-2A",5,136631478,139070855,2439378,183,71.8
"LO01F-1",5,20094882,40804831,20709950,626,91.3
"LO01F-1",5,54882561,68314656,13432096,286,75.2
"LO03M-1",5,86334635,104887827,18553193,416,79.6
"LO03M-1",5,120865321,123935858,3070538,132,51.1
"LO03M-1",5,136701182,154885742,18184561,1271,96.5
"LO04M-1",5,1230013,4808376,3578364,180,84.2
"LO04M-1",5,101568098,115870317,14302220,448,87.1
"LO04M-1",5,123208519,127215032,4006514,195,66.5
"LO04M-1",5,136631478,139596233,2964756,201,73.3
"OF289-2",5,6130740,9239845,3109106,120,49.9
"OF289-2",5,35435376,41928434,6493059,235,75.5
"OF289-2",5,92621025,115870317,23249293,610,90.8
"OF289-2",5,123225501,127215032,3989532,191,67
"OF304-1A",5,123208519,135404550,12196032,497,87.5
"OM258-2",5,1607270,4808376,3201107,133,50.4
"OM258-2",5,16484303,24959805,8475503,294,73.6
"OM258-2",5,147923405,152286005,4362601,319,77
"OM270-2",5,1263796,3081962,1818167,87,58.9
"OM274-3B",5,68446749,85952045,17505297,339,85.2
"OM274-3B",5,120400166,122222612,1822447,77,42.9
"OM274-3B",5,141221078,142731997,1510920,99,54.6
"OM279-1",5,35458700,45739709,10281010,333,80.9
"OM279-1",5,46802160,57887421,11085262,247,77.6
"OM279-1",5,152367824,153871677,1503854,143,56.4
"OM283-2",5,5220765,7398620,2177856,130,72.3
"OM283-2",5,16484303,24434866,7950564,319,81.1
"OM283-2",5,151604871,154863788,3258918,321,87.6
"OM290-2",5,21775594,70347212,48571619,1277,93.6
"OM290-2",5,150183863,152350920,2167058,220,65.5
"OM292-2",5,35435376,45739709,10304334,344,78.8
"OM292-2",5,58185086,84188835,26003750,440,86.1
"OM292-2",5,85756167,115870317,30114151,718,89.2
"OM292-2",5,135763120,150128900,14365781,845,94
"OM318-2",5,16484303,45739709,29255407,963,91.8
"OM318-2",5,46807287,99374897,52567611,1072,94.5
"OM318-2",5,123924064,135404550,11480487,444,86.6
"OM318-2",5,135775807,142731997,6956191,442,90.2
"OM318-2",5,153209482,154431738,1222257,85,44.8
"OM331-1A",5,83890560,112812131,28921572,614,90.1
"OM331-1A",5,152419926,154860062,2440137,164,83.3
"Y22F-1",5,11229897,14189117,2959221,162,54.4
"Y22F-1",5,98242900,138506305,40263406,1354,95.6
"Y27M-1",5,8139552,14476624,6337073,333,81.1
"Y27M-1",5,44713668,124126830,79413163,2066,89.3
"Y27M-1",5,132135987,138833641,6697655,345,80.6
"Y28M-1",5,64256545,84508066,20251522,385,82.7
"Y28M-1",5,91950748,109370519,17419772,475,85.7
"Y29F-1",5,45074847,52704682,7629836,204,55.2
"Y30F-1",5,5115579,6230379,1114801,91,49.6
"Y30F-1",5,7367929,38876916,31508988,1262,95.1
"Y30F-1",5,147534299,152814783,5280485,474,88.6
"Y31F-1",5,8139552,16509212,8369661,463,90.1
"Y31F-1",5,20103773,25243481,5139709,157,48.3
"Y31F-1",5,50267916,72792970,22525055,441,80.4
"Y31F-1",5,119254531,122338418,3083888,118,37.8
"Y31F-1",5,132135987,137713282,5577296,243,79.4
"Y31F-1",5,143731461,147339517,3608057,203,77.6
"Y32F-1",5,1230013,4243461,3013449,134,74.2
"Y32F-1",5,22101061,36777333,14676273,401,89.1
"Y32F-1",5,72900039,84621187,11721149,223,69.7
"Y32F-1",5,138203767,140458927,2255161,137,37.1
"Y32F-1",5,149016560,151677158,2660599,243,64.8
"E10F-1",6,640722,1280828,640107,62,51.3
"E10F-1",6,13044098,16379689,3335592,180,59.8
"E10F-1",6,47319181,67511311,20192131,540,93.1
"E10F-1",6,120341269,129042464,8701196,301,83.6
"E10F-1",6,135181043,137484900,2303858,119,31.7
"E10F-1",6,147565965,149650734,2084770,57,70.1
"E13M-1",6,30741153,35392989,4651837,123,46.6
"E13M-1",6,37296987,59373975,22076989,591,81.6
"E13M-1",6,140954592,144860451,3905860,328,79.4
"E14F-1",6,139024459,148238771,9214313,686,92.8
"E18F-1",6,2373805,3723588,1349784,218,81.1
"E19M-2A",6,39768968,45399869,5630902,179,60.7
"E19M-2A",6,112044440,134570011,22525572,797,95.3
"E19M-2A",6,141611223,144399668,2788446,186,73.3
"E24M-1",6,16030938,35392989,19362052,498,87.6
"E24M-1",6,37296987,53518804,16221818,473,85
"E24M-1",6,70349588,84237913,13888326,377,83
"E24M-1",6,106294439,121783563,15489125,622,91.2
"E27M-1",6,64668473,65776852,1108380,51,45.2
"E27M-1",6,141595656,144209050,2613395,172,73.3
"E28F-1",6,5785942,13369591,7583650,363,81.4
"E28F-1",6,15303516,17965521,2662006,138,51.8
"E29M-1",6,7197378,13420743,6223366,297,78.8
"E29M-1",6,15350485,17954016,2603532,147,50.1
"E29M-1",6,67693646,83781969,16088324,434,84.1
"E29M-1",6,144424703,146922136,2497434,169,76.5
"E31M-2",6,36872956,40151766,3278811,143,30
"E31M-2",6,112044440,121653033,9608594,395,90.3
"E31M-2",6,134570011,138856316,4286306,248,74.1
"E32M-1",6,46083691,54924176,8840486,220,81.8
"E32M-1",6,136726157,139342429,2616273,177,61.4
"E33M-1",6,640722,2605066,1964345,242,90.3
"E33M-1",6,7162878,14804982,7642105,284,77.9
"E33M-1",6,37037684,45736776,8699093,244,87.8
"E33M-1",6,116337922,121941994,5604073,218,80.4
"E33M-1",6,122490933,134368890,11877958,317,80.8
"E34M-2A",6,13750722,16299032,2548311,138,34.3
"E34M-2A",6,143679252,146922136,3242885,228,78.7
"E35M-2A",6,146122380,149650734,3528355,150,70.4
"E36F-2A",6,4019514,6865599,2846086,149,50.3
"E36F-2A",6,36159803,37762590,1602788,159,82.3
"E36F-2A",6,92322130,116553888,24231759,792,92.4
"E36F-2A",6,122490933,134368890,11877958,393,87.2
"E37F-1",6,7219755,13369591,6149837,299,78.3
"LAO01M-2A",6,134857238,144399668,9542431,654,89.7
"LAO03M-1",6,2890417,10641769,7751353,437,82
"LAO03M-1",6,69151208,87906221,18755014,522,86.3
"LAO03M-1",6,121717896,134208156,12490261,413,82.7
"LAO06M-2A",6,640722,2547592,1906871,296,86.7
"LAO06M-2A",6,2890417,10817786,7927370,466,82.1
"LAO06M-2A",6,16167738,32120910,15953173,395,83.7
"LAO06M-2A",6,43444166,76122576,32678411,863,89.6
"LAO06M-2A",6,118516763,134570011,16053249,606,90
"LAO06M-2A",6,139688616,148020642,8332027,619,88
"LO01F-1",6,112311103,126975831,14664729,572,91.2
"LO03M-1",6,84063864,99232830,15168967,563,90.2
"LO03M-1",6,137953214,140449612,2496399,203,84.8
"LO04M-1",6,640722,2547592,1906871,297,87.2
"LO04M-1",6,2890417,10817786,7927370,463,82.1
"LO04M-1",6,42409515,76122576,33713062,884,91.1
"LO04M-1",6,139688616,145317624,5629009,456,86.8
"LO04M-1",6,146317728,148020642,1702915,109,30.2
"OF289-2",6,2890417,5335326,2444910,195,64.9
"OF289-2",6,68947604,76122576,7174973,174,49.6
"OF289-2",6,121717896,133061169,11343274,385,80.3
"OF289-2",6,144462387,145317624,855238,90,52.3
"OF289-2",6,146317728,148020642,1702915,112,34.5
"OF304-1A",6,139688616,144399668,4711053,360,81.9
"OM258-2",6,4458207,64416933,59958727,1639,93.8
"OM258-2",6,109339691,120021835,10682145,354,87.3
"OM258-2",6,121717896,132990119,11272224,307,78.6
"OM258-2",6,139688616,144398313,4709698,290,74.6
"OM258-2",6,146317728,149650734,3333007,125,47
"OM270-2",6,42409515,76122576,33713062,860,90.9
"OM274-3B",6,640722,2227243,1586522,225,87.9
"OM274-3B",6,16030938,36664162,20633225,570,91.7
"OM274-3B",6,143374013,144249146,875134,66,32.1
"OM276-1",6,4273786,12804800,8531015,430,82.5
"OM276-1",6,38232003,64416933,26184931,685,86.4
"OM276-1",6,78847176,109173357,30326182,1022,94.7
"OM279-1",6,6300919,12804800,6503882,297,79.5
"OM279-1",6,17504829,34074071,16569243,352,78
"OM279-1",6,64476339,68709463,4233125,153,61.2
"OM279-1",6,133441190,139629341,6188152,343,80.7
"OM283-2",6,640722,14834391,14193670,1039,95.4
"OM283-2",6,73856554,111325859,37469306,1213,95.1
"OM290-2",6,640722,2787606,2146885,324,90.1
"OM290-2",6,17495957,34074071,16578115,363,79.7
"OM290-2",6,49010206,59963888,10953683,236,79.9
"OM290-2",6,134583881,140259315,5675435,330,83.9
"OM290-2",6,143396643,149650734,6254092,344,71.4
"OM292-2",6,33356444,37459150,4102707,220,74.9
"OM301-1A",6,42409515,76122576,33713062,890,90.3
"OM318-2",6,5670060,9845370,4175311,203,61.2
"OM318-2",6,14708906,49010206,34301301,1064,90.3
"OM318-2",6,109265459,120021835,10756377,417,87
"OM318-2",6,121717896,135110378,13392483,470,85.6
"OM318-2",6,144249146,145317624,1068479,105,63.3
"OM331-1A",6,3774268,15817670,12043403,545,82.6
"OM331-1A",6,121813693,129502074,7688382,201,67.8
"OM331-1A",6,132571202,134536665,1965464,70,39.3
"Y27M-1",6,7197378,17428280,10230903,537,85.6
"Y27M-1",6,121899102,129042464,7143363,230,68.2
"Y28M-1",6,73573758,76513491,2939734,91,33.8
"Y29F-1",6,6865599,9845370,2979772,130,36.9
"Y29F-1",6,128100790,140967015,12866226,559,83.3
"Y30F-1",6,6851501,12434372,5582872,269,81.9
"Y30F-1",6,50291671,56498777,6207107,138,51.8
"Y30F-1",6,94913815,140836789,45922975,1790,95.6
"Y30F-1",6,144237577,148121808,3884232,279,76.8
"Y31F-1",6,640722,4169354,3528633,475,95.6
"Y31F-1",6,34371680,80322709,45951030,1341,94.7
"Y31F-1",6,94913815,109459142,14545328,458,85.6
"Y31F-1",6,122278916,127932957,5654042,169,65.2
"Y32F-1",6,3432990,7197378,3764389,231,72.6
"Y32F-1",6,73573758,76448642,2874885,83,39
"Y32F-1",6,87131636,100749881,13618246,519,90.7
"Y32F-1",6,111764976,119588605,7823630,339,87.9
"Y32F-1",6,139123187,141242845,2119659,168,53.8
"E10F-1",7,16747429,20833012,4085584,191,73.1
"E10F-1",7,135354168,136490395,1136228,87,47.5
"E13M-1",7,19806247,26053918,6247672,272,82.5
"E13M-1",7,64690671,72438148,7747478,208,70.8
"E14F-1",7,27950,5488808,5460859,325,90.2
"E14F-1",7,68494387,94468616,25974230,652,90.3
"E14F-1",7,113172532,139035188,25862657,1122,95.5
"E18F-1",7,16747429,19488347,2740919,121,59
"E18F-1",7,93360330,114629508,21269179,381,68.1
"E19M-2A",7,1790644,2610539,819896,76,38.3
"E19M-2A",7,3085299,6462366,3377068,178,63.7
"E19M-2A",7,9604839,19334888,9730050,441,90.9
"E19M-2A",7,27282521,43952281,16669761,314,89
"E19M-2A",7,70597448,77924380,7326933,174,66.9
"E24M-1",7,6923662,9960457,3036796,129,56.4
"E24M-1",7,10746361,16773422,6027062,302,81.1
"E24M-1",7,50447057,57984198,7537142,165,62.3
"E24M-1",7,84416685,89521270,5104586,88,33.7
"E24M-1",7,122964509,131403957,8439449,346,87.1
"E24M-1",7,135970205,139173751,3203547,259,79.1
"E24M-1",7,140604572,142413194,1808623,107,71.7
"E25F-1",7,18379952,20057358,1677407,101,72.6
"E25F-1",7,26319789,41472588,15152800,269,73
"E25F-1",7,43909003,63690430,19781428,457,85.8
"E25F-1",7,135970205,139190532,3220328,244,77.4
"E25F-1",7,140604572,142413194,1808623,104,70.6
"E27M-1",7,67749465,88252238,20502774,452,93.7
"E28F-1",7,18639773,20833012,2193240,117,57.7
"E28F-1",7,23297091,43643963,20346873,399,71.8
"E28F-1",7,136510621,138122496,1611876,131,68.5
"E29M-1",7,27950,1372577,1344628,53,58
"E30M-1",7,27950,2294286,2266337,134,54.2
"E30M-1",7,8965077,12445061,3479985,135,66.6
"E30M-1",7,79288600,94468616,15180017,311,84.1
"E30M-1",7,137241191,140308304,3067114,266,82.7
"E31M-2",7,50743054,72462609,21719556,525,88.6
"E31M-2",7,122964509,131368234,8403726,348,87.6
"E31M-2",7,135970205,139173751,3203547,265,76
"E31M-2",7,140604572,142413194,1808623,112,68.8
"E32M-1",7,23297091,43685748,20388658,411,68.2
"E34M-2A",7,3561902,6556201,2994300,156,52.5
"E34M-2A",7,64217393,76018735,11801343,335,85
"E35M-2A",7,118771344,126108348,7337005,225,66.5
"E36F-2A",7,8174940,14100022,5925083,252,76.4
"E36F-2A",7,23183982,41651503,18467522,358,71.8
"E36F-2A",7,93360330,139631936,46271607,1364,91.5
"E37F-1",7,27950,1559663,1531714,73,64.7
"E37F-1",7,18639773,20833012,2193240,125,62.4
"E37F-1",7,23297091,43124001,19826911,414,75.5
"LAO01M-2A",7,27528708,44243705,16714998,320,55.5
"LAO01M-2A",7,79016643,104766691,25750049,468,78.4
"LAO03M-1",7,2738760,67458384,64719625,2051,96.3
"LAO03M-1",7,76225448,142413194,66187747,1978,97.2
"LAO06M-2A",7,2738760,18928577,16189818,798,91.4
"LAO06M-2A",7,26319789,45683601,19363813,403,66.1
"LAO06M-2A",7,60566881,78897049,18330169,493,84.8
"LAO06M-2A",7,81317103,104766691,23449589,377,61.5
"LAO06M-2A",7,114835138,129426700,14591563,432,86.3
"LAO06M-2A",7,137539000,139748401,2209402,160,58
"LO01F-1",7,27528708,44536988,17008281,326,64.1
"LO03M-1",7,89668999,115720635,26051637,484,79.2
"LO03M-1",7,140306271,142413194,2106924,140,43.9
"LO04M-1",7,27950,1503177,1475228,70,41.3
"LO04M-1",7,26319789,45683601,19363813,410,64.4
"LO04M-1",7,81250248,104766691,23516444,369,61
"LO04M-1",7,114835138,124623065,9787928,263,78.7
"LO04M-1",7,126947593,137287044,10339452,581,88.5
"OF289-2",7,27950,1503177,1475228,64,34
"OF289-2",7,26319789,45683601,19363813,388,64.1
"OF289-2",7,83368851,104214981,20846131,317,51.7
"OF304-1A",7,27528708,44101900,16573193,302,60.4
"OF304-1A",7,79016643,104461606,25444964,442,76.4
"OF304-1A",7,131963623,137151156,5187534,289,82.3
"OM258-2",7,81250248,107145997,25895750,345,60.5
"OM258-2",7,133309148,142413194,9104047,505,91.8
"OM270-2",7,2738760,8081599,5342840,329,77.6
"OM270-2",7,12402530,21650391,9247862,477,88.8
"OM270-2",7,27419613,44243705,16824093,315,53.7
"OM270-2",7,58084331,67538644,9454314,198,71.9
"OM270-2",7,76225448,104766691,28541244,499,76.4
"OM270-2",7,136687258,139748401,3061144,244,69.3
"OM274-3B",7,2738760,4838301,2099542,128,45.4
"OM274-3B",7,8174940,12095718,3920779,146,60.8
"OM274-3B",7,24269688,32154575,7884888,189,52.1
"OM274-3B",7,58084331,67753151,9668821,213,74.5
"OM274-3B",7,76430642,115677930,39247289,763,91.7
"OM276-1",7,27950,3023692,2995743,193,79
"OM276-1",7,22415721,77924380,55508660,1362,86.3
"OM276-1",7,81250248,107183063,25932816,429,70.3
"OM276-1",7,137503630,140622316,3118687,265,79.4
"OM279-1",7,28186329,79090791,50904463,1128,94.6
"OM279-1",7,80784061,107505680,26721620,426,73.2
"OM279-1",7,135970205,139035188,3064984,233,80.9
"OM283-2",7,3445306,5152150,1706845,87,63.2
"OM283-2",7,12524410,22115643,9591234,511,92.2
"OM283-2",7,26319789,49213783,22893995,530,82.8
"OM283-2",7,81616760,128487872,46871113,971,85.7
"OM283-2",7,133252562,138629925,5377364,302,68.6
"OM290-2",7,905644,5152150,4246507,285,86.3
"OM290-2",7,40848768,74333352,33484585,825,84.2
"OM290-2",7,81250248,107505680,26255433,422,69.4
"OM290-2",7,125734723,131053143,5318421,195,63.1
"OM292-2",7,6851317,8429939,1578623,81,53.1
"OM292-2",7,40848768,47588534,6739767,205,36.5
"OM292-2",7,81641653,113863650,32221998,501,70.5
"OM301-1A",7,8616848,12185121,3568274,136,59.5
"OM301-1A",7,24269688,32154575,7884888,185,60.7
"OM301-1A",7,58084331,67753151,9668821,218,75.5
"OM301-1A",7,76225448,104766691,28541244,514,73.7
"OM318-2",7,3445306,5980517,2535212,116,62.7
"OM318-2",7,22328260,44536988,22208729,474,76.7
"OM318-2",7,76225448,84926603,8701156,199,57.8
"OM318-2",7,104911235,127539913,22628679,563,90.1
"OM331-1A",7,116739665,121919104,5179440,110,31.9
"Y27M-1",7,51251243,63690430,12439188,281,82.4
"Y28M-1",7,63827538,90467016,26639479,657,91.4
"Y28M-1",7,137241191,140308304,3067114,263,87
"Y28M-1",7,140506900,142413194,1906295,124,53.8
"Y29F-1",7,3508849,9854404,6345556,290,81.5
"Y29F-1",7,12524410,15534868,3010459,147,68.2
"Y29F-1",7,135597440,136490395,892956,73,46.3
"Y30F-1",7,3445306,5486797,2041492,98,34.3
"Y30F-1",7,12524410,14751207,2226798,139,64.6
"Y30F-1",7,16747429,22379912,5632484,304,83.6
"Y30F-1",7,26319789,42277007,15957219,323,78.1
"Y30F-1",7,51251243,58209054,6957812,148,68.6
"Y31F-1",7,12524410,14019446,1495037,97,32.7
"Y31F-1",7,16747429,20831141,4083713,168,64.5
